TITLE, CATEGORY, BRAND, PRICE, DISCOUNT, PROMOTION, SOLD BY, POSITIVE SELLER RATING, RATING, 5 STAR RATING COUNT, 4 STAR RATING COUNT, 3 STAR RATING COUNT, 2 STAR RATING COUNT, 1 STAR RATING COUNT, AVAILABILITY
"Contadina Extra Virgin Olive Oil 500ml Bundle of 2","Olive Oil","Del Monte","₱640.64","","Cash-in to Wallet & Win","Del Monte","95%","4.7","139","9","2","1","10","true",
"Doña Elena Extra Virgin Olive Oil (500ml)","Olive Oil","Dona Elena","₱320.00","","Cash-in to Wallet & Win","Food Plus","94%","5.0","2","0","0","0","0","true",
"La Española Extra Virgin Olive Oil (Glass Bottle) 500ml","Olive Oil","La Española","₱265.00","","Cash-in to Wallet & Win","LazMart","97%","5.0","291","9","0","0","0","true",
"Contadina Pesto Alla Genovese Sauce 190g","Pasta Sauce","Del Monte","₱132.61","","Cash-in to Wallet & Win","Del Monte","95%","4.8","111","6","4","0","3","true",
"Clara Olé Cheesy Pesto Pasta Sauce 180g","Pasta Sauce","Clara Ole","₱131.00","","Cash-in to Wallet & Win","LazMart","97%","5.0","634","12","3","1","2","true",
"CLARA OLE' RED PESTO 180g, made with real sun dried tomato","Pasta Sauce","Clara Ole","₱149.00","-25%","Cash-in to Wallet & WinMin. spend ₱99.00","GLAM SHOPS","96%","0","0","0","0","0","0","true",
"Mazza Pesto alla Genovese 212ml","Pasta Sauce","Mazza","₱140.00","","Cash-in to Wallet & WinMin. spend ₱1,000.00","Euro Rich Foodtrade Corp.","97%","4.8","28","1","2","0","0","true",
"Del Monte Sarap Savers Party Pack - Filipino Style","Gourmet Food and Gifts","Del Monte","₱126.25","","Cash-in to Wallet & Win","Del Monte","95%","5.0","84","3","0","0","0","true",
"Fiesta Filipino Spaghettipid","Pasta Sauce","RFM Foods","₱109.00","","Cash-in to Wallet & WinOver ₱300.00 to get free sampleFlexi Combo","RFM Foods","97%","5.0","10","0","0","0","0","true",
"Royal Pinoy Celebration Pack (1kg Sauce & 800g Pasta), 1.8kg","Spaghetti","Royal","₱130.00","-4%","Cash-in to Wallet & Win","Tahina","95%","0","0","0","0","0","0","true",
"Contadina Extra Virgin Olive Oil 500ml","Olive Oil","Del Monte","₱320.32","","Cash-in to Wallet & Win","Del Monte","95%","4.8","75","5","2","0","1","true",
